time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
0.0,1.0,-24.999999233891728,1.61955867332142e-16,1.1930878172625964e-16,25.35999924055002,0.3380483317092561,-0.04778520286993095,0.29026312883932515,3.1218533414673347e-12,0.6108172822931537,0.38918271770372453
0.01,0.9964182121290638,-24.894473085395102,1.9004994015015818e-16,2.69598353813413e-16,25.253349018523448,0.33703529649913705,-0.04763866682925605,0.289396629669881,3.059508950676865e-12,0.6082321192243789,0.3881860929016253
0.02,0.9931065989572475,-24.797841508592253,3.2602456823146194e-16,4.3206829449036006e-16,25.155667121524537,0.3361046615540493,-0.047501434319169804,0.28860322723487947,2.9939859303233943e-12,0.6059162247879676,0.38719037416628604
0.03,0.9900280396876755,-24.708842494360546,4.3675705153739767e-16,4.840355935218301e-16,25.065681760345726,0.3352448477927492,-0.047372274293701805,0.2878725734990474,2.9437287381971635e-12,0.6038324714015383,0.3861955682831937
0.04,0.9871524535486403,-24.626459561884648,5.173615974823043e-16,5.007072048669974e-16,24.982368482573744,0.334446490076695,-0.04725018258092202,0.287196307495773,2.940122460101084e-12,0.6019507715762583,0.38520168196944177
0.05,0.9844551288132939,-24.549862241076603,6.09596606915331e-16,5.140492722136657e-16,24.904890234531806,0.3337019072788326,-0.04713432929127551,0.28656757798755705,3.028611274258707e-12,0.6002464069044301,0.38420872190583527
0.06,0.9819155198598049,-24.47836352340829,7.256859827235334e-16,5.783848848105022e-16,24.83255450744245,0.3330047223717737,-0.047024020667118985,0.2859807017046547,3.2697319963363254e-12,0.5986988251122715,0.38321669474426373
0.07,0.9795163634001433,-24.41138880232518,6.997118622902386e-16,7.447134222895417e-16,24.764782052631865,0.3323495841457952,-0.04691867085690505,0.28543091328889014,3.740036233965478e-12,0.597290756297063,0.3822256070993403
0.08,0.9772430173436619,-24.34845277533192,8.365701706263705e-16,8.785843500253223e-16,24.701083614171917,0.33173195949523077,-0.04681778066263841,0.28491417883259235,4.53287686141842e-12,0.5960075518080358,0.38123546553109317
0.09,0.9750829581654824,-24.289141979587882,8.770969761981857e-16,9.503280169287674e-16,24.641042334968347,0.33114797578453653,-0.04672092128554505,0.28442705449899147,5.759042088626526e-12,0.594836681636242,0.3802462765234813
0.1,0.9730253932192487,-24.233101389478545,8.976311731601193e-16,1.0837868865135472e-15,24.584300253946875,0.33059429944527485,-0.04662772171913502,0.2839665777261398,7.547229224998147e-12,0.5937673467497747,0.3792580464619269
0.11,0.9710609577998633,-24.180023993221244,9.527586405449218e-16,1.1141520791306114e-15,24.53054780385755,0.3300680412373009,-0.04653785884726871,0.2835301823900322,1.0044358227505478e-11,0.5927901761779307,0.37827078161188826
0.12,0.9691814756371537,-24.12964258807997,9.842150724146827e-16,1.293757322025571e-15,24.479515543921224,0.3295666814359127,-0.04645104957781704,0.2831156318580957,1.341573143409754e-11,0.5918969875240697,0.37728448809966814
0.13,0.9673797675134681,-24.081723251012257,1.0864874780870274e-15,1.3657437446939907e-15,24.430967580279976,0.3290880101158116,-0.04636704452855939,0.28272096558725224,1.7845050351741205e-11,0.5910805955995483,0.37629917189607487
0.14,0.965649496845805,-24.03606009065836,1.103393326077581e-15,1.4484798467373382e-15,24.384696277333173,0.32863007901647595,-0.046285622911064445,0.2823444561054115,2.3534303166939935e-11,0.5903346580190991,0.3753148388031716
0.15,0.9639850439827745,-23.992470990654503,1.3057126941095758e-15,1.4421520514381346e-15,24.340517967840402,0.32819116239353036,-0.0462065883493622,0.28198457404416816,3.070353808121858e-11,0.5896535495079732,0.37433149444409763
0.16,0.9623814030395086,-23.95079412804496,1.4126351625553036e-15,1.4900786895632428e-15,24.29826944398729,0.3277697249151493,-0.046129765435421376,0.2816399594797279,3.9590537971226364e-11,0.5890322587441297,0.37334914425578825
0.17,0.9608340965912201,-23.910885103648425,1.4195316529856377e-15,1.6970035890849055e-15,24.25780506506835,0.32736439513481747,-0.04605499687078494,0.2813093982640325,5.045041152650916e-11,0.5884663030564343,0.37236779348433513
0.18,0.9593391046422196,-23.87261455992291,1.551280067260749e-15,1.845589734794596e-15,24.218994356408032,0.32697394341706887,-0.04598214107852312,0.28099180233854576,6.35551151791707e-11,0.5879516573959825,0.37138744718268185
0.19,0.9578928050991012,-23.835866190418784,1.7089570482773355e-15,1.874449306755939e-15,24.181720002893194,0.32659726344832446,-0.04591107019555662,0.28068619325276783,7.919291899691066e-11,0.5874846948095684,0.3704081102103401
0.2,0.9564919235848859,-23.800535066208695,1.7026839751912792e-15,1.8910309036296754e-15,24.145876161944734,0.3262333566561163,-0.045841668374875265,0.28039168828124106,9.766782841521193e-11,0.5870621362524032,0.36942978723481495
0.21,0.9551334908910226,-23.76652622074312,1.8491084069926114e-15,1.9835888543086275e-15,24.111367036933675,0.32588131900447664,-0.04577383034196934,0.2801074886625073,1.1929897233100771e-10,0.5866810080372744,0.368452482734449
0.22,0.953814806715651,-23.733753446807416,1.85229221295619e-15,2.1917231665765845e-15,24.078105664365207,0.3255403297435403,-0.04570746016113265,0.27983286958240766,1.4441996675353887e-10,0.5863386055688139,0.36747620100241707
